age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,survey_wt,knowledge,knowledge_binary
35-44,male,degree,cons,25000plus,2,1,0,0,1,1,2,4,4,3,3,2,0.9095,-0.6248319183436151,0
35-44,male,degree,lib_dem,25000plus,3,1,1,0,4,4,3,4,4,4,3,4,1.22882,0.1349925272543115,0
55-64,male,degree,no_party,25000plus,2,1,1,0,1,1,4,4,4,4,3,3,1.45144,0.1349925272543115,0
65plus,male,gcse,no_party,9500_17499,3,1,1,0,3,3,4,4,3,4,3,3,0.49133,0.1349925272543115,0
65plus,female,alevel,no_party,25000plus,3,1,1,0,3,3,3,4,4,4,3,3,0.7904,0.1349925272543115,0
25-34,male,alevel,cons,25000plus,2,1,1,0,2,1,3,4,4,2,3,2,1.17216,0.1349925272543115,0
15-24,female,gcse,no_party,9500_17499,2,1,1,0,1,1,2,2,3,3,4,2,1.14597,0.1349925272543115,0
65plus,male,gcse,other,up_to_9499,3,1,1,0,4,2,4,5,4,4,5,4,0.71171,0.1349925272543115,0
45-54,female,no_qual,labour,25000plus,3,1,0,0,1,1,3,3,3,3,3,2,1.50909,-0.6248319183436151,0
45-54,female,alevel,other,25000plus,3,1,1,1,2,3,3,4,4,4,4,3,1.05439,0.6612552775959889,1
15-24,male,degree,cons,up_to_9499,2,1,1,1,1,1,3,3,3,3,3,3,0.88238,0.6612552775959889,1
65plus,female,gcse,other,up_to_9499,3,0,1,0,3,3,3,3,3,2,2,3,0.75339,-1.313071516124142,0
45-54,male,gcse,cons,up_to_9499,4,1,1,0,4,3,4,4,4,4,3,4,0.75471,0.1349925272543115,0
65plus,male,degree,lib_dem,25000plus,4,1,1,1,2,2,5,4,4,5,3,4,0.50371,0.6612552775959889,1
55-64,male,degree,no_party,25000plus,3,1,1,1,4,3,4,4,4,3,4,3,0.61326,0.6612552775959889,1
45-54,male,degree,lib_dem,25000plus,4,1,1,1,2,2,5,5,4,4,5,4,1.00257,0.6612552775959889,1
65plus,male,alevel,no_party,17500_24999,3,1,1,1,3,2,2,4,4,4,2,2,0.56801,0.6612552775959889,1
25-34,male,degree,labour,up_to_9499,2,0,0,0,1,1,3,3,3,3,5,1,1.12561,-1.7368542675113936,0
45-54,male,degree,other,25000plus,2,1,1,1,1,1,1,5,4,4,1,2,0.70685,0.6612552775959889,1
55-64,female,no_qual,labour,9500_17499,3,1,1,0,3,3,4,4,4,4,2,3,0.78473,0.1349925272543115,0
55-64,male,no_qual,no_party,25000plus,1,1,1,0,1,1,3,3,3,3,3,3,0.74005,0.1349925272543115,0
65plus,female,no_qual,labour,up_to_9499,1,0,0,0,5,1,3,3,3,3,3,1,0.93363,-1.7368542675113936,0
45-54,male,gcse,labour,9500_17499,3,1,1,0,2,2,2,5,5,2,5,4,1.05387,0.1349925272543115,0
55-64,female,degree,cons,17500_24999,3,1,1,1,2,2,2,2,4,4,2,2,0.64408,0.6612552775959889,1
15-24,female,alevel,other,up_to_9499,3,1,1,0,2,5,5,5,5,5,3,5,1.16697,0.1349925272543115,0
35-44,female,gcse,labour,9500_17499,2,1,1,0,3,4,3,4,4,5,4,4,1.30819,0.1349925272543115,0
65plus,female,degree,lib_dem,17500_24999,3,1,1,0,2,4,4,5,5,5,3,5,0.78066,0.1349925272543115,0
15-24,female,gcse,labour,25000plus,2,0,1,1,2,2,2,4,4,4,3,3,0.89428,-1.1369932893546735,0
55-64,female,no_qual,no_party,9500_17499,2,1,1,1,2,2,4,3,2,2,3,3,0.68671,0.6612552775959889,1
35-44,female,gcse,labour,17500_24999,3,1,1,1,2,1,4,4,4,4,4,2,1.13451,0.6612552775959889,1
35-44,female,alevel,labour,9500_17499,3,1,1,1,4,1,4,4,4,4,3,2,1.33397,0.6612552775959889,1
25-34,male,gcse,cons,9500_17499,2,1,1,0,3,1,1,5,5,1,3,2,1.24235,0.1349925272543115,0
15-24,male,alevel,cons,25000plus,3,1,0,1,2,3,2,5,5,4,3,4,0.65954,-0.3218308132340501,0
35-44,female,gcse,no_party,9500_17499,3,1,1,0,2,3,5,2,5,1,4,2,0.95048,0.1349925272543115,0
15-24,male,gcse,labour,25000plus,3,1,1,0,2,2,4,4,4,2,3,3,1.47033,0.1349925272543115,0
55-64,female,degree,labour,9500_17499,5,1,1,1,2,3,5,4,5,5,5,5,0.82779,0.6612552775959889,1
55-64,male,no_qual,labour,25000plus,1,1,0,0,1,3,4,4,5,4,5,5,0.47416,-0.6248319183436151,0
35-44,male,gcse,labour,25000plus,2,0,0,0,1,1,4,1,5,1,3,1,1.59424,-1.7368542675113936,0
15-24,female,gcse,no_party,25000plus,2,1,1,0,4,2,3,3,3,3,3,1,0.6835,0.1349925272543115,0
65plus,male,alevel,other,25000plus,5,1,1,1,1,5,3,5,5,5,3,5,0.77463,0.6612552775959889,1
65plus,female,gcse,cons,25000plus,1,0,1,0,3,1,2,2,4,4,3,3,0.96675,-1.313071516124142,0
25-34,male,degree,labour,25000plus,3,1,1,0,1,3,3,5,4,3,2,4,2.15845,0.1349925272543115,0
45-54,male,degree,other,25000plus,3,1,1,1,3,2,5,5,4,5,1,5,0.75321,0.6612552775959889,1
65plus,female,gcse,no_party,up_to_9499,5,1,1,0,2,5,4,5,4,3,5,4,0.86301,0.1349925272543115,0
35-44,male,degree,lib_dem,25000plus,3,1,1,0,2,2,4,4,4,4,4,2,1.16104,0.1349925272543115,0
55-64,female,alevel,labour,25000plus,1,1,0,0,1,1,2,1,2,2,3,1,0.65615,-0.6248319183436151,0
55-64,female,gcse,cons,25000plus,2,1,1,0,1,2,2,3,4,2,5,2,0.91014,0.1349925272543115,0
55-64,female,gcse,lib_dem,17500_24999,3,1,1,0,2,4,2,4,4,4,3,4,0.74285,0.1349925272543115,0
35-44,female,degree,labour,25000plus,3,1,1,1,3,3,1,5,5,4,4,3,1.09903,0.6612552775959889,1
15-24,male,alevel,other,up_to_9499,3,1,1,1,3,2,4,5,1,4,4,4,1.04261,0.6612552775959889,1
25-34,female,alevel,labour,25000plus,2,1,1,0,1,2,3,3,3,3,4,1,1.05096,0.1349925272543115,0
65plus,male,gcse,other,25000plus,2,1,1,0,1,1,3,4,3,3,3,1,0.63279,0.1349925272543115,0
15-24,male,alevel,cons,up_to_9499,4,1,1,1,3,4,5,5,4,4,3,5,0.81683,0.6612552775959889,1
65plus,male,degree,cons,17500_24999,2,1,0,0,2,1,1,1,4,3,2,1,0.52425,-0.6248319183436151,0
15-24,male,gcse,other,25000plus,3,1,1,1,3,1,5,4,5,5,3,3,0.97727,0.6612552775959889,1
25-34,male,gcse,other,25000plus,1,1,1,0,2,2,3,4,3,3,3,2,1.20338,0.1349925272543115,0
55-64,male,gcse,cons,25000plus,2,1,0,0,1,3,1,1,4,4,3,2,0.78142,-0.6248319183436151,0
35-44,female,alevel,lib_dem,25000plus,3,1,1,0,2,3,4,4,4,3,4,4,1.4427,0.1349925272543115,0
65plus,male,alevel,cons,up_to_9499,2,1,1,0,5,3,2,5,4,3,4,4,0.80567,0.1349925272543115,0
55-64,male,degree,labour,25000plus,3,1,1,1,3,3,4,4,4,4,4,2,0.78142,0.6612552775959889,1
65plus,female,gcse,other,up_to_9499,3,1,1,1,3,3,4,5,5,3,3,4,0.76279,0.6612552775959889,1
65plus,male,gcse,other,9500_17499,2,1,1,0,4,1,1,5,2,4,2,2,0.649,0.1349925272543115,0
15-24,female,degree,no_party,9500_17499,3,1,1,0,3,3,2,4,2,2,2,4,0.98347,0.1349925272543115,0
65plus,female,no_qual,labour,9500_17499,4,1,1,1,2,3,1,5,5,5,4,5,0.65386,0.6612552775959889,1
45-54,male,gcse,other,9500_17499,3,1,1,0,3,3,4,4,4,4,4,4,0.66781,0.1349925272543115,0
45-54,female,degree,other,25000plus,2,1,1,0,2,5,1,5,3,3,3,3,1.2149,0.1349925272543115,0
45-54,female,degree,labour,25000plus,3,1,1,1,2,3,5,5,5,5,2,5,1.83777,0.6612552775959889,1
15-24,male,gcse,no_party,25000plus,3,1,1,1,3,3,4,5,4,4,3,4,0.79468,0.6612552775959889,1
65plus,male,alevel,cons,9500_17499,2,1,1,1,4,1,5,5,5,1,5,5,0.73012,0.6612552775959889,1
15-24,male,gcse,no_party,25000plus,3,1,1,0,2,2,4,4,4,4,3,3,0.96626,0.1349925272543115,0
55-64,female,alevel,other,25000plus,3,1,1,1,2,4,1,3,5,2,4,3,0.88356,0.6612552775959889,1
65plus,female,degree,cons,17500_24999,3,1,1,1,4,2,5,5,5,5,5,5,0.94139,0.6612552775959889,1
65plus,female,no_qual,cons,up_to_9499,3,1,1,0,5,4,5,5,5,2,5,3,0.92624,0.1349925272543115,0
15-24,female,degree,no_party,25000plus,3,1,1,0,2,3,1,4,5,3,3,2,0.96756,0.1349925272543115,0
65plus,female,no_qual,cons,up_to_9499,1,1,1,0,5,5,1,1,3,1,1,1,0.92624,0.1349925272543115,0
65plus,male,no_qual,cons,up_to_9499,1,1,1,0,1,1,1,4,3,1,3,1,0.649,0.1349925272543115,0
65plus,female,no_qual,cons,up_to_9499,2,1,0,0,2,4,2,4,2,2,5,2,0.85179,-0.6248319183436151,0
55-64,male,other,no_party,25000plus,3,1,1,1,2,3,2,4,4,2,4,3,0.68354,0.6612552775959889,1
55-64,male,other,other,9500_17499,4,1,1,0,3,4,3,4,5,2,4,4,0.7046,0.1349925272543115,0
55-64,female,gcse,cons,25000plus,3,0,0,1,1,2,4,4,4,4,4,4,0.84558,-1.5211301619680593,0
65plus,female,degree,cons,up_to_9499,2,1,1,0,1,1,3,4,3,4,4,2,1.36854,0.1349925272543115,0
45-54,male,gcse,other,17500_24999,3,1,1,0,1,1,2,3,5,2,2,3,1.32291,0.1349925272543115,0
65plus,male,alevel,no_party,up_to_9499,3,1,1,0,2,3,2,5,5,4,4,3,0.50864,0.1349925272543115,0
15-24,male,gcse,no_party,9500_17499,3,1,1,0,3,1,2,4,4,5,2,3,0.55183,0.1349925272543115,0
55-64,female,no_qual,other,up_to_9499,3,1,1,0,3,2,3,4,3,3,4,2,0.78473,0.1349925272543115,0
25-34,male,alevel,labour,17500_24999,1,1,0,1,1,1,1,5,5,3,2,2,1.90486,-0.3218308132340501,0
35-44,male,alevel,no_party,9500_17499,2,1,1,0,3,1,3,5,4,4,3,3,1.19388,0.1349925272543115,0
35-44,male,gcse,labour,25000plus,3,1,1,0,1,4,4,5,4,4,1,5,1.14677,0.1349925272543115,0
55-64,male,degree,lib_dem,17500_24999,3,1,1,1,4,3,4,5,5,4,3,3,1.05708,0.6612552775959889,1
65plus,male,no_qual,other,up_to_9499,2,0,1,0,2,2,1,1,3,1,4,1,0.74394,-1.313071516124142,0
25-34,female,student,labour,25000plus,3,0,1,0,4,4,4,5,5,5,1,4,1.11311,-1.313071516124142,0
55-64,male,no_qual,other,25000plus,3,1,1,0,4,3,1,5,5,5,5,5,1.41892,0.1349925272543115,0
55-64,female,other,no_party,25000plus,3,1,1,1,2,4,4,4,4,4,5,4,1.08797,0.6612552775959889,1
65plus,male,alevel,no_party,25000plus,1,0,0,0,1,1,1,1,4,1,1,2,0.79871,-1.7368542675113936,0
45-54,male,alevel,other,25000plus,3,1,1,0,2,5,2,5,5,5,2,5,1.11746,0.1349925272543115,0
15-24,male,alevel,no_party,25000plus,2,1,1,1,2,2,4,3,4,4,3,2,0.9694,0.6612552775959889,1
55-64,male,degree,cons,25000plus,3,1,1,0,1,4,3,4,4,5,4,4,0.93551,0.1349925272543115,0
55-64,male,degree,no_party,25000plus,1,1,0,0,2,1,1,3,4,3,4,1,0.66293,-0.6248319183436151,0
65plus,female,gcse,labour,9500_17499,1,0,0,0,3,3,3,3,3,3,2,1,0.85863,-1.7368542675113936,0
15-24,female,degree,other,25000plus,5,1,1,1,1,4,4,4,5,4,3,5,0.67435,0.6612552775959889,1
25-34,male,student,other,25000plus,3,1,1,1,4,1,4,4,4,4,4,5,1.58759,0.6612552775959889,1
25-34,male,degree,labour,25000plus,5,1,1,1,1,4,4,4,4,4,2,2,1.98312,0.6612552775959889,1
65plus,female,other,no_party,25000plus,2,1,1,0,2,4,1,2,1,1,3,2,1.01607,0.1349925272543115,0
55-64,female,degree,no_party,9500_17499,4,1,1,1,3,3,3,3,3,3,3,4,0.58396,0.6612552775959889,1
45-54,male,gcse,labour,25000plus,1,1,1,0,1,1,1,3,3,1,3,3,0.62291,0.1349925272543115,0
65plus,male,other,cons,9500_17499,1,0,0,0,1,1,1,1,1,1,4,3,0.49463,-1.7368542675113936,0
55-64,female,alevel,no_party,up_to_9499,3,1,1,0,3,1,2,4,3,3,3,3,0.56594,0.1349925272543115,0
35-44,female,degree,labour,9500_17499,3,1,1,0,2,3,3,4,4,4,3,3,0.83865,0.1349925272543115,0
65plus,male,degree,cons,9500_17499,5,1,1,0,5,1,5,4,5,5,4,5,0.56231,0.1349925272543115,0
45-54,female,gcse,other,25000plus,2,1,1,0,2,1,2,5,5,1,3,1,1.44631,0.1349925272543115,0
65plus,female,no_qual,other,up_to_9499,2,1,0,1,4,1,2,5,4,4,5,2,0.77586,-0.3218308132340501,0
65plus,male,degree,other,up_to_9499,1,0,0,0,3,1,2,2,3,1,2,1,0.5078,-1.7368542675113936,0
35-44,male,degree,labour,25000plus,2,1,1,0,3,2,1,4,1,5,2,2,0.89871,0.1349925272543115,0
65plus,female,no_qual,no_party,up_to_9499,2,1,1,0,3,4,2,2,4,2,3,3,1.4195,0.1349925272543115,0
45-54,female,degree,labour,25000plus,3,1,0,1,4,2,2,4,2,3,4,4,1.60009,-0.3218308132340501,0
35-44,male,degree,no_party,25000plus,4,1,1,1,1,2,4,4,2,4,2,5,1.112,0.6612552775959889,1
45-54,female,gcse,other,25000plus,2,1,1,0,4,2,4,2,4,2,4,5,1.82753,0.1349925272543115,0
25-34,female,degree,cons,25000plus,5,1,1,0,2,4,4,4,4,4,4,4,1.41143,0.1349925272543115,0
25-34,male,no_qual,labour,9500_17499,4,1,1,0,4,5,5,5,5,4,5,5,1.46726,0.1349925272543115,0
35-44,male,gcse,no_party,17500_24999,3,1,1,1,3,3,2,5,5,4,3,3,1.39341,0.6612552775959889,1
35-44,male,alevel,cons,25000plus,3,1,1,0,3,2,3,4,5,2,2,2,1.0521,0.1349925272543115,0
55-64,male,alevel,cons,25000plus,4,1,1,1,2,4,2,4,5,2,4,3,1.31547,0.6612552775959889,1
45-54,male,no_qual,cons,up_to_9499,1,1,0,0,1,3,1,5,3,4,4,5,0.63092,-0.6248319183436151,0
15-24,male,alevel,labour,25000plus,3,1,1,0,2,2,1,2,4,5,1,2,0.61005,0.1349925272543115,0
35-44,male,alevel,cons,9500_17499,3,0,1,0,1,4,2,1,2,2,5,1,0.87274,-1.313071516124142,0
45-54,female,alevel,labour,9500_17499,4,1,1,0,3,4,2,4,5,5,5,2,0.89044,0.1349925272543115,0
25-34,female,degree,labour,9500_17499,5,1,1,1,1,4,5,5,4,4,2,4,1.00384,0.6612552775959889,1
35-44,female,alevel,no_party,25000plus,3,1,1,0,4,3,3,5,4,4,4,5,0.91155,0.1349925272543115,0
25-34,female,degree,labour,25000plus,4,1,1,0,2,3,5,5,4,5,4,4,1.01827,0.1349925272543115,0
15-24,female,degree,cons,17500_24999,3,1,1,0,3,3,3,3,3,3,3,2,0.98736,0.1349925272543115,0
15-24,male,student,cons,25000plus,3,1,1,0,3,2,4,3,2,4,3,1,0.61005,0.1349925272543115,0
15-24,male,degree,labour,9500_17499,3,1,0,0,2,2,3,4,5,4,4,3,0.51764,-0.6248319183436151,0
35-44,female,alevel,labour,17500_24999,2,1,1,0,2,3,1,5,5,2,3,1,0.90984,0.1349925272543115,0
15-24,male,alevel,no_party,25000plus,5,1,1,1,2,2,1,5,5,3,2,4,0.70241,0.6612552775959889,1
25-34,male,degree,labour,25000plus,3,1,1,0,4,3,3,4,5,5,5,4,1.71707,0.1349925272543115,0
15-24,female,gcse,cons,25000plus,4,1,1,0,2,4,4,5,4,5,4,5,0.94002,0.1349925272543115,0
45-54,female,degree,labour,9500_17499,3,1,1,0,4,2,4,5,5,4,2,3,1.02673,0.1349925272543115,0
25-34,female,alevel,cons,25000plus,1,1,1,0,2,1,2,4,4,4,2,1,1.46027,0.1349925272543115,0
55-64,female,degree,labour,9500_17499,5,1,1,1,2,5,4,5,5,5,5,5,1.23994,0.6612552775959889,1
25-34,male,gcse,labour,25000plus,3,1,1,0,2,2,1,4,4,3,4,4,1.20338,0.1349925272543115,0
45-54,female,degree,cons,25000plus,2,1,1,0,2,1,3,4,4,3,3,3,1.29531,0.1349925272543115,0
45-54,female,degree,other,25000plus,3,1,1,0,2,3,5,5,4,5,4,4,1.05439,0.1349925272543115,0
55-64,female,gcse,other,9500_17499,4,1,1,1,5,5,3,4,5,2,4,4,1.21023,0.6612552775959889,1
65plus,male,gcse,no_party,9500_17499,4,1,1,0,2,2,5,5,3,4,3,3,0.73383,0.1349925272543115,0
45-54,male,gcse,other,25000plus,3,1,1,1,3,3,4,5,5,4,3,4,0.89629,0.6612552775959889,1
65plus,female,degree,other,9500_17499,3,1,1,1,2,1,5,5,5,4,4,3,0.78066,0.6612552775959889,1
55-64,male,degree,no_party,17500_24999,2,1,0,0,3,2,2,1,4,3,2,2,0.47416,-0.6248319183436151,0
15-24,male,gcse,labour,up_to_9499,4,1,1,1,2,4,5,5,5,5,1,5,0.94557,0.6612552775959889,1
65plus,male,alevel,no_party,25000plus,4,1,1,1,5,4,4,5,5,2,4,5,0.52279,0.6612552775959889,1
25-34,female,gcse,labour,25000plus,2,0,1,0,2,3,3,3,3,4,4,4,1.51285,-1.313071516124142,0
45-54,male,gcse,labour,9500_17499,3,0,0,0,2,3,3,3,3,2,4,3,0.9183,-1.7368542675113936,0
25-34,male,gcse,labour,25000plus,3,0,1,0,4,2,3,3,3,4,3,2,1.45416,-1.313071516124142,0
55-64,male,gcse,no_party,up_to_9499,1,1,1,1,2,1,3,3,4,2,4,1,0.75047,0.6612552775959889,1
65plus,male,degree,labour,25000plus,2,1,1,0,4,1,2,5,5,3,3,3,0.35291,0.1349925272543115,0
65plus,male,gcse,cons,25000plus,1,1,1,0,2,1,4,4,5,5,4,5,0.35291,0.1349925272543115,0
65plus,male,gcse,other,9500_17499,2,1,1,0,1,2,1,4,2,1,3,3,0.66912,0.1349925272543115,0
45-54,female,alevel,labour,25000plus,5,1,1,0,3,4,2,5,5,5,4,5,0.86322,0.1349925272543115,0
55-64,male,degree,other,25000plus,3,1,1,1,2,3,1,5,5,2,1,2,1.20677,0.6612552775959889,1
15-24,male,gcse,labour,25000plus,4,1,1,0,1,2,4,5,5,2,5,2,1.0869,0.1349925272543115,0
65plus,male,gcse,other,up_to_9499,1,1,0,0,3,1,1,3,5,1,4,3,0.56231,-0.6248319183436151,0
15-24,female,alevel,labour,25000plus,3,1,1,0,1,1,2,4,4,4,3,2,0.99005,0.1349925272543115,0
15-24,male,student,labour,9500_17499,4,1,1,1,3,5,5,5,5,5,3,5,1.00611,0.6612552775959889,1
65plus,male,degree,no_party,25000plus,2,1,1,0,2,1,3,4,3,4,4,1,0.79749,0.1349925272543115,0
25-34,male,alevel,labour,25000plus,4,1,1,1,5,5,5,5,5,5,4,5,1.16434,0.6612552775959889,1
65plus,female,no_qual,cons,17500_24999,1,1,1,0,1,1,5,4,5,5,5,4,0.78066,0.1349925272543115,0
35-44,female,other,lib_dem,25000plus,3,1,1,1,3,3,4,5,4,4,4,3,0.83253,0.6612552775959889,1
15-24,male,alevel,no_party,25000plus,4,1,1,1,5,4,5,5,2,2,2,4,1.04402,0.6612552775959889,1
25-34,female,degree,no_party,25000plus,4,1,1,1,4,4,4,5,5,5,4,5,1.14017,0.6612552775959889,1
25-34,male,other,no_party,25000plus,3,1,1,1,2,3,3,4,4,3,4,3,1.91879,0.6612552775959889,1
45-54,female,gcse,no_party,up_to_9499,3,1,1,0,2,2,2,4,4,1,3,3,1.07415,0.1349925272543115,0
45-54,female,degree,labour,25000plus,3,1,1,0,3,2,4,4,5,4,4,3,1.07415,0.1349925272543115,0
35-44,female,degree,lib_dem,25000plus,2,1,0,0,1,1,2,3,1,1,3,1,1.30721,-0.6248319183436151,0
15-24,male,alevel,no_party,17500_24999,1,1,0,0,3,2,2,4,3,2,3,1,0.86808,-0.6248319183436151,0
45-54,female,alevel,no_party,25000plus,3,1,1,1,1,3,4,4,4,5,1,5,0.88499,0.6612552775959889,1
45-54,male,alevel,labour,9500_17499,2,1,1,0,1,1,2,5,3,3,4,2,1.32291,0.1349925272543115,0
65plus,male,gcse,cons,17500_24999,2,1,1,0,3,2,2,4,4,4,4,4,0.57228,0.1349925272543115,0
25-34,female,other,labour,25000plus,5,1,1,1,1,5,5,5,5,1,3,5,1.10471,0.6612552775959889,1
25-34,female,degree,cons,25000plus,3,1,1,0,3,5,4,5,5,5,5,1,1.01827,0.1349925272543115,0
65plus,male,degree,no_party,25000plus,3,1,1,0,3,2,5,5,5,5,5,5,0.56801,0.1349925272543115,0
35-44,female,other,no_party,up_to_9499,2,1,1,1,3,5,5,5,5,5,4,4,1.16278,0.6612552775959889,1
15-24,female,alevel,labour,25000plus,3,1,1,1,3,2,2,2,2,2,4,3,0.88875,0.6612552775959889,1
25-34,male,degree,cons,25000plus,3,1,1,1,1,1,3,4,4,5,3,4,0.83633,0.6612552775959889,1
35-44,female,alevel,cons,17500_24999,4,1,1,0,4,4,3,3,3,3,3,3,1.15368,0.1349925272543115,0
15-24,male,degree,labour,25000plus,2,1,1,0,3,3,1,2,1,5,4,3,0.51764,0.1349925272543115,0
25-34,female,degree,cons,25000plus,2,1,1,0,3,3,3,3,3,3,3,2,1.39677,0.1349925272543115,0
35-44,male,degree,labour,9500_17499,3,1,1,0,1,2,4,4,2,4,2,2,1.1785,0.1349925272543115,0
55-64,male,alevel,labour,25000plus,5,1,1,1,1,5,1,5,4,5,4,4,1.05708,0.6612552775959889,1
65plus,male,alevel,cons,17500_24999,3,1,1,1,3,4,5,4,5,4,5,3,0.80972,0.6612552775959889,1
15-24,female,alevel,labour,25000plus,4,1,1,1,5,3,5,5,4,5,4,5,1.37135,0.6612552775959889,1
35-44,male,alevel,labour,17500_24999,4,1,1,1,3,4,4,4,4,4,4,3,1.1151,0.6612552775959889,1
65plus,female,gcse,cons,up_to_9499,1,1,1,0,1,2,3,5,5,2,3,4,0.79039,0.1349925272543115,0
45-54,male,gcse,cons,25000plus,4,1,1,0,1,2,4,5,5,4,3,4,1.01011,0.1349925272543115,0
35-44,male,degree,cons,25000plus,2,1,1,1,4,2,5,5,5,4,2,4,1.85692,0.6612552775959889,1
35-44,female,degree,no_party,17500_24999,3,1,1,0,2,5,3,5,3,3,5,4,1.09754,0.1349925272543115,0
15-24,female,gcse,lib_dem,25000plus,2,1,1,0,1,1,3,3,3,3,3,1,1.00753,0.1349925272543115,0
45-54,male,no_qual,no_party,up_to_9499,3,1,1,1,1,1,1,5,5,1,1,3,0.89381,0.6612552775959889,1
15-24,female,alevel,labour,up_to_9499,3,1,1,1,2,2,1,5,1,5,4,4,1.01906,0.6612552775959889,1
65plus,male,alevel,cons,25000plus,3,1,1,1,2,2,1,5,5,5,5,4,0.7495,0.6612552775959889,1
15-24,male,degree,cons,25000plus,4,1,1,1,5,3,1,5,5,1,3,1,1.27915,0.6612552775959889,1
65plus,male,degree,cons,up_to_9499,2,0,1,0,3,4,3,4,3,3,4,3,0.53943,-1.313071516124142,0
45-54,female,gcse,cons,up_to_9499,3,0,1,0,2,2,3,2,2,2,3,2,1.17605,-1.313071516124142,0
25-34,female,degree,no_party,17500_24999,2,0,1,0,4,3,4,3,4,4,4,4,1.15066,-1.313071516124142,0
35-44,female,gcse,other,17500_24999,3,1,1,0,5,3,2,3,5,2,4,5,1.32176,0.1349925272543115,0
65plus,male,no_qual,cons,9500_17499,2,1,1,1,2,2,2,4,4,1,3,4,0.6733,0.6612552775959889,1
45-54,female,gcse,cons,25000plus,3,1,1,1,3,2,1,5,5,4,1,4,1.23766,0.6612552775959889,1
65plus,male,degree,cons,25000plus,1,1,1,0,1,1,4,5,5,1,3,1,0.7495,0.1349925272543115,0
65plus,male,gcse,cons,25000plus,2,1,1,1,2,2,2,3,4,1,5,4,0.68862,0.6612552775959889,1
55-64,female,gcse,labour,25000plus,2,1,1,0,2,1,2,3,4,2,4,4,0.63591,0.1349925272543115,0
