age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,survey_wt,knowledge,knowledge_binary
55-64,female,degree,labour,25000plus,5,1,1,0,2,2,4,5,5,5,4,3,0.73271,0.1349925272543115,0
65plus,female,alevel,other,25000plus,1,1,1,0,2,1,2,2,5,1,4,2,0.67752,0.1349925272543115,0
65plus,female,degree,cons,9500_17499,1,1,1,0,1,1,1,5,5,1,5,1,0.78066,0.1349925272543115,0
65plus,male,degree,labour,25000plus,2,1,1,0,2,1,1,5,4,4,4,3,0.7495,0.1349925272543115,0
25-34,male,degree,no_party,17500_24999,2,1,1,0,3,2,3,4,2,4,4,2,1.45416,0.1349925272543115,0
55-64,male,degree,lib_dem,9500_17499,4,1,1,1,2,2,4,4,5,5,4,5,0.54542,0.6612552775959889,1
35-44,female,gcse,cons,9500_17499,3,0,1,0,4,4,2,3,4,3,3,3,1.25037,-1.313071516124142,0
15-24,male,other,no_party,17500_24999,4,1,1,0,2,1,4,4,4,4,3,2,1.08355,0.1349925272543115,0
15-24,female,other,no_party,25000plus,3,1,1,1,2,2,3,2,3,2,4,3,1.48476,0.6612552775959889,1
15-24,female,other,no_party,25000plus,4,1,1,0,2,2,4,3,3,4,4,2,1.73213,0.1349925272543115,0
55-64,male,gcse,cons,17500_24999,2,1,1,0,3,2,3,4,3,3,3,3,0.47416,0.1349925272543115,0
65plus,female,gcse,no_party,25000plus,2,1,1,0,2,2,2,4,4,2,3,1,0.67752,0.1349925272543115,0
45-54,male,no_qual,labour,9500_17499,2,1,1,0,5,2,2,4,4,4,4,2,1.52297,0.1349925272543115,0
25-34,female,alevel,labour,9500_17499,3,1,1,0,3,1,3,4,4,4,3,3,1.76144,0.1349925272543115,0
15-24,female,alevel,lib_dem,up_to_9499,3,1,1,1,2,2,4,4,4,4,4,5,0.89579,0.6612552775959889,1
15-24,male,alevel,no_party,up_to_9499,2,1,1,1,2,2,2,2,2,4,5,2,0.75327,0.6612552775959889,1
55-64,female,gcse,labour,up_to_9499,5,1,1,0,2,3,4,4,4,4,4,5,1.18705,0.1349925272543115,0
15-24,female,degree,no_party,up_to_9499,3,1,1,1,1,1,5,5,5,3,5,5,0.97183,0.6612552775959889,1
45-54,male,degree,other,25000plus,3,1,0,0,3,3,2,2,4,2,2,2,0.68741,-0.6248319183436151,0
65plus,female,other,labour,17500_24999,4,1,1,0,5,5,3,5,4,3,5,5,0.9697,0.1349925272543115,0
25-34,male,gcse,no_party,17500_24999,3,0,1,0,4,2,2,3,4,3,4,3,1.39037,-1.313071516124142,0
55-64,male,no_qual,other,17500_24999,1,1,1,0,4,1,3,4,4,1,4,1,0.71794,0.1349925272543115,0
15-24,male,degree,labour,25000plus,2,1,1,0,1,2,5,4,4,4,3,4,0.7907,0.1349925272543115,0
15-24,male,alevel,labour,25000plus,4,1,1,1,3,2,5,5,5,5,3,5,0.7907,0.6612552775959889,1
15-24,male,alevel,labour,25000plus,3,1,1,0,2,2,5,5,5,4,3,4,1.26981,0.1349925272543115,0
55-64,female,gcse,no_party,9500_17499,4,1,1,0,4,2,2,2,5,2,2,3,0.81504,0.1349925272543115,0
45-54,female,alevel,labour,25000plus,3,1,1,0,4,2,4,2,5,5,4,4,1.23766,0.1349925272543115,0
65plus,male,no_qual,labour,25000plus,3,1,1,0,3,1,5,5,5,5,3,5,0.50864,0.1349925272543115,0
45-54,male,degree,no_party,25000plus,2,1,1,1,2,1,5,5,5,4,2,2,1.40977,0.6612552775959889,1
15-24,female,gcse,no_party,9500_17499,3,1,1,1,2,3,2,5,4,5,3,4,1.15245,0.6612552775959889,1
15-24,male,gcse,labour,25000plus,2,1,0,0,3,1,3,4,4,4,2,2,0.86609,-0.6248319183436151,0
55-64,male,no_qual,no_party,up_to_9499,1,1,1,0,3,2,2,4,3,2,3,3,0.62794,0.1349925272543115,0
45-54,male,degree,labour,25000plus,3,1,1,0,3,2,3,4,4,4,4,4,1.36726,0.1349925272543115,0
35-44,male,gcse,labour,up_to_9499,1,1,0,0,5,1,4,4,4,4,4,3,0.80478,-0.6248319183436151,0
25-34,male,gcse,other,up_to_9499,3,1,1,0,2,1,2,5,5,3,1,2,1.66985,0.1349925272543115,0
35-44,female,degree,other,17500_24999,3,1,1,0,2,2,1,4,5,3,2,5,0.71969,0.1349925272543115,0
65plus,female,no_qual,labour,9500_17499,2,1,1,0,3,3,4,3,3,1,4,3,0.92259,0.1349925272543115,0
55-64,male,alevel,labour,9500_17499,2,1,0,0,4,1,2,4,4,4,4,2,1.09894,-0.6248319183436151,0
35-44,female,gcse,no_party,25000plus,2,1,0,0,3,3,3,4,4,3,4,3,0.87755,-0.6248319183436151,0
45-54,female,degree,cons,25000plus,2,1,1,0,3,3,3,4,4,4,2,3,0.82495,0.1349925272543115,0
65plus,male,no_qual,no_party,up_to_9499,5,1,1,0,3,3,5,5,5,4,4,3,0.42758,0.1349925272543115,0
45-54,male,gcse,no_party,25000plus,1,1,1,0,1,1,1,1,4,1,1,2,0.75471,0.1349925272543115,0
45-54,female,degree,labour,25000plus,2,1,1,1,4,1,2,5,3,3,5,3,0.95811,0.6612552775959889,1
65plus,female,no_qual,labour,25000plus,2,1,1,0,3,4,4,3,4,3,3,5,0.77193,0.1349925272543115,0
45-54,male,degree,cons,25000plus,2,1,1,0,1,1,3,4,5,3,2,1,0.62291,0.1349925272543115,0
55-64,male,degree,cons,25000plus,3,1,1,0,3,1,1,5,1,4,2,3,0.70282,0.1349925272543115,0
35-44,male,degree,no_party,17500_24999,2,1,1,1,5,1,5,5,4,1,4,4,0.75067,0.6612552775959889,1
65plus,male,degree,labour,17500_24999,4,1,1,1,4,2,5,5,5,5,3,5,0.7495,0.6612552775959889,1
65plus,male,gcse,cons,17500_24999,3,1,1,0,3,3,2,2,4,4,4,1,0.7495,0.1349925272543115,0
45-54,male,gcse,other,17500_24999,1,1,0,0,1,1,1,4,5,4,3,1,1.1169,-0.6248319183436151,0
65plus,male,gcse,other,25000plus,4,0,1,0,2,1,2,2,5,4,2,4,0.79749,-1.313071516124142,0
15-24,male,gcse,other,9500_17499,3,1,1,0,4,3,3,5,4,3,3,3,0.52014,0.1349925272543115,0
65plus,female,no_qual,labour,up_to_9499,4,1,1,0,1,2,3,5,5,5,4,5,0.95113,0.1349925272543115,0
65plus,male,other,lib_dem,25000plus,2,1,1,0,3,1,4,4,5,3,4,3,0.7495,0.1349925272543115,0
55-64,male,alevel,labour,25000plus,3,1,1,0,1,3,5,1,5,5,5,5,0.90698,0.1349925272543115,0
45-54,male,degree,no_party,9500_17499,3,1,1,1,1,2,4,5,4,4,2,4,0.59822,0.6612552775959889,1
45-54,male,gcse,no_party,25000plus,2,1,1,0,4,1,1,4,4,2,1,2,0.83844,0.1349925272543115,0
15-24,male,alevel,labour,25000plus,4,1,1,0,1,4,4,4,4,4,4,4,0.86246,0.1349925272543115,0
45-54,female,gcse,labour,9500_17499,2,1,1,1,2,2,4,4,5,3,4,2,1.15997,0.6612552775959889,1
55-64,female,other,labour,25000plus,3,1,1,0,4,4,4,4,5,4,4,4,0.93716,0.1349925272543115,0
35-44,male,no_qual,labour,9500_17499,2,1,1,0,3,1,3,4,4,3,2,4,0.96223,0.1349925272543115,0
25-34,female,gcse,labour,9500_17499,3,1,1,1,2,2,3,4,5,4,4,3,1.26734,0.6612552775959889,1
65plus,male,no_qual,no_party,17500_24999,1,1,1,0,2,1,2,2,4,2,3,3,0.5078,0.1349925272543115,0
45-54,female,alevel,labour,9500_17499,4,1,1,0,3,1,2,4,4,3,4,5,1.16533,0.1349925272543115,0
65plus,female,no_qual,other,up_to_9499,3,1,1,0,1,3,3,2,4,4,3,4,0.66506,0.1349925272543115,0
35-44,female,degree,other,25000plus,2,1,1,1,1,2,4,4,4,2,3,2,0.85398,0.6612552775959889,1
45-54,female,no_qual,no_party,25000plus,2,0,0,1,1,1,2,4,3,2,3,1,0.74844,-1.5211301619680593,0
35-44,female,alevel,no_party,25000plus,3,1,1,0,3,3,3,4,4,3,3,3,0.8373,0.1349925272543115,0
65plus,male,degree,labour,9500_17499,1,1,0,1,1,1,2,2,4,4,1,1,0.77463,-0.3218308132340501,0
65plus,male,other,labour,9500_17499,2,0,1,0,2,1,1,3,4,3,4,3,0.45452,-1.313071516124142,0
65plus,female,alevel,lib_dem,17500_24999,3,1,1,1,3,2,2,4,5,2,3,2,0.86301,0.6612552775959889,1
55-64,female,gcse,no_party,25000plus,2,1,0,0,1,1,2,4,4,2,3,1,0.63591,-0.6248319183436151,0
65plus,female,gcse,no_party,25000plus,3,1,1,0,3,2,4,4,4,4,4,3,0.95113,0.1349925272543115,0
15-24,male,gcse,labour,25000plus,4,1,1,0,2,4,2,4,4,4,5,4,1.17524,0.1349925272543115,0
25-34,male,gcse,no_party,25000plus,2,1,1,1,1,1,2,2,4,2,2,1,1.16434,0.6612552775959889,1
15-24,male,alevel,no_party,25000plus,3,1,1,1,2,2,4,4,3,3,2,1,0.94557,0.6612552775959889,1
55-64,male,alevel,cons,25000plus,2,1,1,0,1,2,2,2,4,2,2,1,1.23442,0.1349925272543115,0
55-64,male,alevel,no_party,25000plus,4,1,1,1,3,1,4,5,5,5,3,5,1.23442,0.6612552775959889,1
45-54,female,no_qual,labour,9500_17499,2,1,0,0,2,1,3,3,3,3,3,1,1.53737,-0.6248319183436151,0
55-64,female,no_qual,labour,up_to_9499,1,0,0,0,1,1,3,3,3,3,3,1,0.79943,-1.7368542675113936,0
65plus,male,no_qual,labour,25000plus,2,1,1,1,1,1,3,3,3,4,3,1,0.68513,0.6612552775959889,1
65plus,male,gcse,no_party,17500_24999,3,1,1,0,3,3,2,4,4,4,4,3,0.52359,0.1349925272543115,0
25-34,male,degree,cons,25000plus,2,1,1,0,1,1,2,3,4,2,2,1,1.24079,0.1349925272543115,0
25-34,female,gcse,no_party,up_to_9499,3,1,1,0,2,4,2,5,5,1,3,4,1.0147,0.1349925272543115,0
15-24,female,alevel,no_party,25000plus,3,1,1,0,3,3,4,4,4,4,3,3,1.51317,0.1349925272543115,0
45-54,female,degree,no_party,25000plus,3,1,1,0,3,1,1,4,5,5,5,4,2.42101,0.1349925272543115,0
25-34,female,degree,cons,25000plus,3,1,1,0,1,3,4,4,4,2,4,3,1.85694,0.1349925272543115,0
35-44,female,degree,labour,25000plus,3,1,1,0,3,2,5,5,4,5,3,4,1.6257,0.1349925272543115,0
25-34,male,gcse,no_party,25000plus,1,1,1,0,1,1,4,5,4,2,2,1,1.36937,0.1349925272543115,0
15-24,female,alevel,cons,25000plus,3,1,1,0,2,3,4,4,4,4,3,3,1.03026,0.1349925272543115,0
55-64,female,degree,no_party,25000plus,3,1,1,1,1,2,4,3,5,5,1,5,0.55899,0.6612552775959889,1
45-54,female,gcse,other,9500_17499,3,1,1,1,4,2,2,5,5,4,1,3,1.2149,0.6612552775959889,1
45-54,male,degree,other,25000plus,3,1,1,1,3,3,5,5,5,5,1,3,1.08377,0.6612552775959889,1
65plus,male,alevel,no_party,9500_17499,1,0,1,0,2,1,2,2,4,4,4,2,0.79749,-1.313071516124142,0
55-64,female,other,cons,25000plus,2,1,1,0,2,1,2,3,4,2,3,2,0.64408,0.1349925272543115,0
55-64,female,degree,cons,25000plus,4,1,1,0,4,4,3,4,5,3,4,4,0.71923,0.1349925272543115,0
55-64,female,gcse,cons,25000plus,1,0,0,0,1,1,1,1,5,1,2,1,1.07836,-1.7368542675113936,0
65plus,female,degree,cons,25000plus,2,1,1,0,2,2,2,2,4,4,4,1,0.91071,0.1349925272543115,0
45-54,female,degree,cons,25000plus,3,1,1,0,3,3,3,4,4,3,4,3,1.14448,0.1349925272543115,0
25-34,female,gcse,no_party,17500_24999,2,1,0,0,1,3,4,4,4,4,4,3,1.28299,-0.6248319183436151,0
35-44,male,gcse,no_party,17500_24999,4,1,1,1,3,3,1,4,5,4,4,4,1.19388,0.6612552775959889,1
65plus,male,other,lib_dem,9500_17499,4,1,1,1,2,2,4,5,5,4,2,3,0.79802,0.6612552775959889,1
65plus,male,gcse,labour,25000plus,1,1,0,0,3,1,1,5,5,3,4,4,0.71171,-0.6248319183436151,0
65plus,female,other,no_party,up_to_9499,3,1,1,1,3,4,1,5,5,1,5,5,0.70344,0.6612552775959889,1
45-54,female,other,labour,25000plus,3,1,1,0,1,1,1,5,5,1,2,2,1.09073,0.1349925272543115,0
15-24,male,other,labour,25000plus,4,1,1,1,1,4,4,5,5,3,2,3,0.61471,0.6612552775959889,1
65plus,male,no_qual,labour,25000plus,1,1,1,1,3,1,4,1,4,4,5,5,0.5705,0.6612552775959889,1
15-24,female,degree,other,up_to_9499,4,1,1,1,3,4,5,5,5,5,3,4,0.89579,0.6612552775959889,1
25-34,female,degree,other,25000plus,3,1,1,0,1,2,5,5,4,4,1,3,1.21299,0.1349925272543115,0
45-54,male,other,no_party,17500_24999,4,1,1,0,2,3,4,4,5,2,5,3,0.75511,0.1349925272543115,0
45-54,male,other,labour,25000plus,4,1,1,0,2,3,4,4,4,4,4,3,1.65762,0.1349925272543115,0
45-54,female,no_qual,no_party,9500_17499,2,0,0,0,2,2,4,2,2,3,3,2,1.42028,-1.7368542675113936,0
25-34,female,other,labour,9500_17499,4,1,1,0,3,2,4,4,4,4,5,3,0.93205,0.1349925272543115,0
25-34,female,gcse,no_party,17500_24999,3,1,1,0,1,4,4,4,4,4,4,4,0.93205,0.1349925272543115,0
25-34,female,gcse,other,up_to_9499,3,1,1,0,3,2,4,4,4,2,4,2,1.73842,0.1349925272543115,0
45-54,female,alevel,no_party,17500_24999,3,1,1,0,1,2,3,4,4,2,4,3,1.46951,0.1349925272543115,0
65plus,male,gcse,no_party,up_to_9499,3,1,1,0,1,3,2,4,4,2,3,3,0.65177,0.1349925272543115,0
15-24,male,gcse,labour,25000plus,3,1,1,0,2,2,4,4,4,2,4,3,0.89938,0.1349925272543115,0
45-54,male,degree,cons,25000plus,4,1,1,1,2,4,4,4,4,4,4,5,1.02512,0.6612552775959889,1
15-24,male,degree,cons,25000plus,3,1,1,1,3,4,4,4,4,4,4,3,1.04907,0.6612552775959889,1
45-54,female,gcse,no_party,25000plus,4,1,1,0,2,2,4,4,5,4,4,2,1.49249,0.1349925272543115,0
45-54,male,alevel,no_party,25000plus,3,0,1,0,2,3,3,4,3,4,4,4,0.77204,-1.313071516124142,0
35-44,male,no_qual,labour,9500_17499,3,1,1,1,4,4,4,4,4,4,3,3,1.51169,0.6612552775959889,1
55-64,male,no_qual,labour,9500_17499,1,1,0,0,3,3,3,3,3,4,3,1,0.74637,-0.6248319183436151,0
25-34,female,gcse,no_party,9500_17499,2,0,1,0,1,1,3,3,3,3,3,1,1.18565,-1.313071516124142,0
55-64,female,gcse,other,up_to_9499,1,1,0,0,3,1,3,5,4,1,2,1,0.81463,-0.6248319183436151,0
65plus,male,alevel,labour,17500_24999,1,1,0,0,3,1,2,2,4,1,2,1,0.40705,-0.6248319183436151,0
55-64,female,no_qual,labour,up_to_9499,5,1,1,0,1,5,1,5,5,1,5,5,0.8105,0.1349925272543115,0
35-44,female,degree,labour,17500_24999,3,1,1,0,3,4,2,4,4,5,2,5,1.15441,0.1349925272543115,0
15-24,female,degree,cons,up_to_9499,3,1,1,1,3,2,2,4,5,4,4,3,0.97183,0.6612552775959889,1
55-64,female,gcse,lib_dem,17500_24999,2,1,1,0,3,2,2,4,4,3,4,1,0.75179,0.1349925272543115,0
45-54,male,alevel,labour,17500_24999,1,1,1,0,1,1,2,4,4,3,4,2,0.87304,0.1349925272543115,0
15-24,female,other,no_party,25000plus,1,0,1,0,3,1,2,3,4,4,2,2,1.05804,-1.313071516124142,0
65plus,female,gcse,cons,9500_17499,1,0,1,0,1,1,3,3,3,3,3,1,0.86301,-1.313071516124142,0
65plus,female,alevel,lib_dem,17500_24999,3,1,1,0,2,1,2,3,4,3,3,2,1.35092,0.1349925272543115,0
65plus,female,no_qual,no_party,25000plus,3,1,1,1,4,3,2,2,5,4,5,1,0.92207,0.6612552775959889,1
15-24,female,degree,labour,9500_17499,2,1,1,0,1,2,5,4,4,2,3,4,1.38689,0.1349925272543115,0
45-54,male,gcse,lib_dem,25000plus,2,1,1,0,4,1,5,5,5,3,2,3,1.81178,0.1349925272543115,0
45-54,female,no_qual,no_party,9500_17499,3,1,0,0,2,2,4,4,4,4,4,4,1.19619,-0.6248319183436151,0
55-64,male,degree,cons,9500_17499,2,1,0,0,2,1,4,4,4,4,3,2,0.49005,-0.6248319183436151,0
65plus,female,no_qual,lib_dem,9500_17499,2,1,0,0,1,3,4,4,4,4,2,2,0.93363,-0.6248319183436151,0
15-24,female,degree,labour,25000plus,3,1,1,0,2,2,3,5,3,4,3,4,1.2655,0.1349925272543115,0
35-44,male,degree,labour,25000plus,4,1,1,0,2,1,3,4,4,4,3,2,0.50093,0.1349925272543115,0
35-44,female,degree,labour,25000plus,4,1,1,0,3,3,4,5,4,5,4,4,0.64377,0.1349925272543115,0
35-44,female,gcse,no_party,25000plus,1,0,1,0,1,1,1,3,3,3,3,4,1.02889,-1.313071516124142,0
65plus,male,gcse,labour,9500_17499,4,1,1,0,2,2,4,4,4,4,4,4,0.40499,0.1349925272543115,0
15-24,female,degree,labour,25000plus,3,1,1,1,4,4,2,4,4,4,1,4,1.09838,0.6612552775959889,1
65plus,female,no_qual,cons,9500_17499,2,1,0,0,3,1,3,5,5,2,5,2,1.487,-0.6248319183436151,0
65plus,female,degree,labour,up_to_9499,5,1,1,0,3,5,3,4,5,5,2,5,1.19711,0.1349925272543115,0
45-54,male,gcse,labour,9500_17499,1,1,1,0,1,1,1,5,4,3,1,5,0.76551,0.1349925272543115,0
25-34,male,gcse,no_party,9500_17499,3,1,1,0,3,4,3,4,4,4,3,4,2.23494,0.1349925272543115,0
45-54,male,degree,lib_dem,up_to_9499,3,1,1,0,4,1,2,4,3,3,2,3,0.77128,0.1349925272543115,0
35-44,female,degree,cons,25000plus,3,1,1,0,4,4,4,3,5,4,4,3,1.37196,0.1349925272543115,0
35-44,male,alevel,cons,25000plus,2,1,1,0,4,2,5,5,5,5,5,5,1.21728,0.1349925272543115,0
15-24,female,alevel,labour,25000plus,1,0,1,0,2,4,2,2,3,1,1,3,0.91258,-1.313071516124142,0
55-64,male,alevel,other,25000plus,3,1,1,0,3,3,2,5,4,4,5,4,0.55228,0.1349925272543115,0
45-54,male,degree,no_party,25000plus,3,1,1,0,2,1,3,3,4,3,5,3,0.68741,0.1349925272543115,0
45-54,female,gcse,cons,17500_24999,2,1,1,0,2,2,3,4,5,4,4,2,0.88949,0.1349925272543115,0
65plus,female,other,cons,25000plus,2,1,1,0,3,4,5,3,5,3,5,5,0.67752,0.1349925272543115,0
65plus,male,other,labour,25000plus,4,1,1,0,2,3,3,4,5,4,4,4,0.7495,0.1349925272543115,0
65plus,female,no_qual,cons,17500_24999,3,1,0,0,5,2,4,5,5,3,5,3,0.7904,-0.6248319183436151,0
25-34,male,gcse,other,25000plus,3,1,1,1,2,3,1,4,4,1,2,2,0.68225,0.6612552775959889,1
55-64,male,gcse,labour,9500_17499,1,1,1,0,5,1,1,1,5,1,3,1,0.61067,0.1349925272543115,0
45-54,male,degree,labour,17500_24999,4,1,1,1,4,3,4,5,5,5,2,5,1.01968,0.6612552775959889,1
65plus,female,no_qual,cons,9500_17499,2,1,0,0,1,1,2,5,5,5,5,2,0.7904,-0.6248319183436151,0
15-24,female,degree,no_party,25000plus,2,1,1,0,1,1,1,5,5,5,2,2,0.86669,0.1349925272543115,0
65plus,female,no_qual,no_party,9500_17499,1,0,0,0,1,1,2,3,5,4,2,2,1.17364,-1.7368542675113936,0
45-54,female,gcse,other,9500_17499,5,1,1,0,2,3,5,5,5,5,3,5,0.98824,0.1349925272543115,0
45-54,male,gcse,lib_dem,17500_24999,1,1,1,0,4,3,1,2,5,1,5,3,1.12218,0.1349925272543115,0
35-44,male,no_qual,labour,up_to_9499,4,0,1,0,4,4,3,2,4,4,4,2,1.23346,-1.313071516124142,0
65plus,male,no_qual,labour,up_to_9499,5,1,1,0,4,2,2,5,3,4,4,4,0.67433,0.1349925272543115,0
35-44,male,gcse,labour,up_to_9499,3,0,1,0,2,4,4,4,3,5,4,4,1.3423,-1.313071516124142,0
25-34,female,degree,labour,25000plus,3,1,1,0,3,2,2,3,4,3,2,4,1.3847,0.1349925272543115,0
15-24,male,degree,labour,up_to_9499,5,0,1,0,2,1,3,3,3,4,4,3,0.86219,-1.313071516124142,0
65plus,female,no_qual,labour,up_to_9499,1,0,0,0,1,1,2,4,3,4,3,3,1.27326,-1.7368542675113936,0
45-54,male,no_qual,labour,25000plus,3,0,1,0,5,2,3,4,4,5,2,5,1.32271,-1.313071516124142,0
15-24,male,gcse,labour,17500_24999,2,1,1,0,4,3,4,5,5,2,4,3,0.51353,0.1349925272543115,0
55-64,female,other,cons,17500_24999,4,1,1,0,2,4,4,3,4,2,2,4,0.72837,0.1349925272543115,0
35-44,male,no_qual,other,9500_17499,4,1,1,0,1,2,4,2,4,4,4,4,1.05475,0.1349925272543115,0
25-34,male,gcse,no_party,9500_17499,2,0,0,0,2,1,4,3,3,5,3,3,1.45416,-1.7368542675113936,0
45-54,male,student,cons,25000plus,3,1,1,0,2,4,2,4,4,4,4,5,0.49346,0.1349925272543115,0
25-34,male,degree,other,25000plus,4,1,1,0,2,4,5,5,5,4,4,5,1.07951,0.1349925272543115,0
65plus,male,gcse,cons,25000plus,2,1,1,0,3,1,2,2,4,4,5,3,0.56801,0.1349925272543115,0
45-54,male,gcse,cons,25000plus,2,1,1,0,2,2,2,5,4,2,2,2,0.92416,0.1349925272543115,0
55-64,male,gcse,cons,25000plus,1,1,0,0,2,3,3,3,3,3,3,3,0.86234,-0.6248319183436151,0
35-44,male,other,other,25000plus,3,1,1,1,1,3,1,3,4,2,3,3,1.23537,0.6612552775959889,1
55-64,female,alevel,no_party,25000plus,4,1,1,0,3,3,3,1,4,4,3,1,0.74184,0.1349925272543115,0
15-24,female,student,no_party,up_to_9499,1,1,1,0,1,1,3,3,3,3,3,3,1.00753,0.1349925272543115,0
55-64,female,gcse,cons,17500_24999,2,1,1,0,3,1,1,4,5,3,4,2,1.20312,0.1349925272543115,0
35-44,female,degree,cons,25000plus,3,1,1,0,2,2,4,4,3,3,5,4,1.61174,0.1349925272543115,0
65plus,female,gcse,other,9500_17499,3,1,1,1,3,2,4,4,5,4,5,4,1.01607,0.6612552775959889,1
25-34,female,degree,labour,25000plus,3,1,1,1,4,4,5,5,5,5,3,5,1.4574,0.6612552775959889,1
45-54,female,alevel,cons,25000plus,2,0,1,0,4,1,2,4,4,4,2,1,1.04074,-1.313071516124142,0
25-34,female,degree,labour,25000plus,4,1,1,1,3,3,5,4,5,4,3,4,0.80714,0.6612552775959889,1
45-54,male,gcse,labour,25000plus,3,1,1,0,2,3,3,4,4,4,4,4,0.70802,0.1349925272543115,0
25-34,male,degree,labour,17500_24999,2,1,1,1,4,1,3,5,5,4,3,5,1.23054,0.6612552775959889,1
55-64,female,other,cons,25000plus,4,1,1,0,2,2,4,5,5,3,3,4,1.41749,0.1349925272543115,0
65plus,female,gcse,cons,25000plus,2,0,0,0,2,2,3,3,3,3,3,1,1.19711,-1.7368542675113936,0
65plus,male,gcse,labour,9500_17499,1,1,1,1,2,1,4,4,4,4,3,2,0.93854,0.6612552775959889,1
65plus,male,degree,other,9500_17499,5,1,1,1,2,2,5,5,4,5,3,5,1.09537,0.6612552775959889,1
35-44,male,degree,labour,25000plus,2,1,1,0,3,1,1,4,4,4,3,2,1.04693,0.1349925272543115,0
65plus,female,no_qual,cons,9500_17499,3,1,1,0,1,1,1,1,1,1,5,5,0.70344,0.1349925272543115,0
65plus,male,gcse,cons,25000plus,3,1,1,0,4,4,2,3,4,3,5,3,0.53567,0.1349925272543115,0
55-64,female,alevel,no_party,17500_24999,3,1,0,0,3,1,5,4,4,4,5,1,0.9359,-0.6248319183436151,0
65plus,female,gcse,no_party,up_to_9499,2,1,1,0,2,1,4,4,4,2,3,2,1.12551,0.1349925272543115,0
55-64,female,gcse,lib_dem,25000plus,1,1,0,0,2,1,1,4,2,1,2,1,0.93736,-0.6248319183436151,0
25-34,female,gcse,no_party,25000plus,3,1,1,0,1,1,2,2,4,2,2,2,1.50604,0.1349925272543115,0
